Dataset,n,Neighbour,Temperature,T0,Alpha,Best Energy,Iterations
uniform_points,10,arbitrary_neighbour,exponentional_temperature,10,0.9,345.5924632664113,172
uniform_points,10,arbitrary_neighbour,exponentional_temperature,10,0.8,345.5924632664112,223
uniform_points,10,arbitrary_neighbour,exponentional_temperature,10,0.5,433.4061613946676,167
uniform_points,10,arbitrary_neighbour,exponentional_temperature,10,0.3,345.5924632664113,189
uniform_points,10,arbitrary_neighbour,exponentional_temperature,100,0.99,345.59246326641124,536
uniform_points,10,arbitrary_neighbour,exponentional_temperature,100,0.9,345.59246326641096,198
uniform_points,10,arbitrary_neighbour,exponentional_temperature,100,0.8,345.5924632664111,202
uniform_points,10,arbitrary_neighbour,exponentional_temperature,100,0.5,345.5924632664113,201
uniform_points,10,arbitrary_neighbour,exponentional_temperature,100,0.3,345.5924632664114,172
uniform_points,10,arbitrary_neighbour,exponentional_temperature,1000,0.99,345.59246326641306,750
uniform_points,10,arbitrary_neighbour,exponentional_temperature,1000,0.9,345.5924632664115,279
uniform_points,10,arbitrary_neighbour,exponentional_temperature,1000,0.8,345.59246326641113,211
uniform_points,10,arbitrary_neighbour,exponentional_temperature,1000,0.5,345.5924632664112,241
uniform_points,10,arbitrary_neighbour,exponentional_temperature,1000,0.3,345.59246326641136,162
uniform_points,20,consecutive_neighbour,linear_temperature,10,0.99,694.8272911316286,144
uniform_points,20,consecutive_neighbour,linear_temperature,10,0.9,658.1723178014116,222
uniform_points,20,consecutive_neighbour,linear_temperature,10,0.8,689.8589269041696,183
uniform_points,20,consecutive_neighbour,linear_temperature,10,0.5,773.6395225970479,146
uniform_points,20,consecutive_neighbour,linear_temperature,10,0.3,733.2068624222923,188
uniform_points,20,consecutive_neighbour,linear_temperature,100,0.99,705.1380654830814,244
uniform_points,20,consecutive_neighbour,linear_temperature,100,0.9,585.4216793649969,240
uniform_points,20,consecutive_neighbour,linear_temperature,100,0.8,694.340702434912,286
uniform_points,20,consecutive_neighbour,linear_temperature,100,0.5,576.597573705208,434
uniform_points,20,consecutive_neighbour,linear_temperature,100,0.3,616.3557437633148,417
uniform_points,20,consecutive_neighbour,linear_temperature,1000,0.99,684.195835932125,1000
uniform_points,20,consecutive_neighbour,linear_temperature,1000,0.9,720.243254005718,1000
uniform_points,20,consecutive_neighbour,linear_temperature,1000,0.8,675.4864051688076,1000
uniform_points,20,consecutive_neighbour,linear_temperature,1000,0.5,689.1429767881283,1000
uniform_points,20,consecutive_neighbour,linear_temperature,1000,0.3,728.7780910861044,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,10,0.99,648.7710063305826,727
uniform_points,20,consecutive_neighbour,logarytmic_temperature,10,0.9,680.0524820816603,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,10,0.8,659.3100954886464,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,10,0.5,670.0439471824687,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,10,0.3,685.9615703938096,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,100,0.99,524.5687698634099,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,100,0.9,506.6159248079123,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,100,0.8,555.0815217581621,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,100,0.5,541.5849623587073,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,100,0.3,575.5218144435124,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,1000,0.99,642.4375101556363,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,1000,0.9,682.2809862417007,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,1000,0.8,595.5667045969268,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,1000,0.5,676.7513319701652,1000
uniform_points,20,consecutive_neighbour,logarytmic_temperature,1000,0.3,613.6280108311535,1000
uniform_points,20,consecutive_neighbour,exponentional_temperature,10,0.99,704.8564256976333,238
uniform_points,20,consecutive_neighbour,exponentional_temperature,10,0.9,703.9727085221319,195
uniform_points,20,consecutive_neighbour,exponentional_temperature,10,0.8,621.9226931871625,201
uniform_points,20,consecutive_neighbour,exponentional_temperature,10,0.5,696.0386644624514,210
uniform_points,20,consecutive_neighbour,exponentional_temperature,10,0.3,700.7312967528012,181
uniform_points,20,consecutive_neighbour,exponentional_temperature,100,0.99,615.4106429192437,572
uniform_points,20,consecutive_neighbour,exponentional_temperature,100,0.9,606.214820489715,190
uniform_points,20,consecutive_neighbour,exponentional_temperature,100,0.8,693.4147063097901,200
uniform_points,20,consecutive_neighbour,exponentional_temperature,100,0.5,746.0111361368433,163
uniform_points,20,consecutive_neighbour,exponentional_temperature,100,0.3,654.4252180278577,206
uniform_points,20,consecutive_neighbour,exponentional_temperature,1000,0.99,522.25296681139,811
uniform_points,20,consecutive_neighbour,exponentional_temperature,1000,0.9,560.5698075269871,169
uniform_points,20,consecutive_neighbour,exponentional_temperature,1000,0.8,744.6627292517264,252
uniform_points,20,consecutive_neighbour,exponentional_temperature,1000,0.5,712.2200953950202,131
uniform_points,20,consecutive_neighbour,exponentional_temperature,1000,0.3,749.6131888188088,155
uniform_points,20,arbitrary_neighbour,linear_temperature,10,0.99,451.07554955277095,340
uniform_points,20,arbitrary_neighbour,linear_temperature,10,0.9,469.44760654620734,496
uniform_points,20,arbitrary_neighbour,linear_temperature,10,0.8,427.6543405038767,716
uniform_points,20,arbitrary_neighbour,linear_temperature,10,0.5,473.4627651211909,449
uniform_points,20,arbitrary_neighbour,linear_temperature,10,0.3,461.9439994511663,290
uniform_points,20,arbitrary_neighbour,linear_temperature,100,0.99,422.00311090022154,667
uniform_points,20,arbitrary_neighbour,linear_temperature,100,0.9,393.82670954478715,741
uniform_points,20,arbitrary_neighbour,linear_temperature,100,0.8,465.83667533736485,839
uniform_points,20,arbitrary_neighbour,linear_temperature,100,0.5,436.51928562121066,778
uniform_points,20,arbitrary_neighbour,linear_temperature,100,0.3,461.0607118833698,533
uniform_points,20,arbitrary_neighbour,linear_temperature,1000,0.99,642.9632549771312,1000
uniform_points,20,arbitrary_neighbour,linear_temperature,1000,0.9,651.5003004239351,1000
uniform_points,20,arbitrary_neighbour,linear_temperature,1000,0.8,676.5668764320353,1000
uniform_points,20,arbitrary_neighbour,linear_temperature,1000,0.5,647.9417690569998,1000
uniform_points,20,arbitrary_neighbour,linear_temperature,1000,0.3,670.0665254823354,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,10,0.99,409.67590184193034,992
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,10,0.9,414.91643292471457,544
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,10,0.8,436.69612027616427,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,10,0.5,473.4995985345477,337
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,10,0.3,429.977143447813,552
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,100,0.99,443.66390326862455,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,100,0.9,414.697123676376,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,100,0.8,421.84584758935927,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,100,0.5,455.2225901453635,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,100,0.3,471.94558305496435,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,1000,0.99,649.2953493344996,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,1000,0.9,653.138352179105,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,1000,0.8,605.4040294309785,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,1000,0.5,652.4870630279611,1000
uniform_points,20,arbitrary_neighbour,logarytmic_temperature,1000,0.3,595.9989624655606,1000
uniform_points,20,arbitrary_neighbour,exponentional_temperature,10,0.99,410.5113644785932,479
uniform_points,20,arbitrary_neighbour,exponentional_temperature,10,0.9,432.2671096323649,417
uniform_points,20,arbitrary_neighbour,exponentional_temperature,10,0.8,436.74810819524225,546
uniform_points,20,arbitrary_neighbour,exponentional_temperature,10,0.5,447.8579574041766,508
uniform_points,20,arbitrary_neighbour,exponentional_temperature,10,0.3,426.0217091363731,603
uniform_points,20,arbitrary_neighbour,exponentional_temperature,100,0.99,458.31434802350935,565
uniform_points,20,arbitrary_neighbour,exponentional_temperature,100,0.9,383.9210438568335,472
uniform_points,20,arbitrary_neighbour,exponentional_temperature,100,0.8,452.8368016026142,480
uniform_points,20,arbitrary_neighbour,exponentional_temperature,100,0.5,436.86910685280264,413
uniform_points,20,arbitrary_neighbour,exponentional_temperature,100,0.3,437.92648056732776,236
uniform_points,20,arbitrary_neighbour,exponentional_temperature,1000,0.99,398.0001783357588,938
uniform_points,20,arbitrary_neighbour,exponentional_temperature,1000,0.9,448.4091368511797,470
uniform_points,20,arbitrary_neighbour,exponentional_temperature,1000,0.8,447.09410612436847,371
uniform_points,20,arbitrary_neighbour,exponentional_temperature,1000,0.5,429.9625502276501,302
uniform_points,20,arbitrary_neighbour,exponentional_temperature,1000,0.3,448.0647738103883,369
uniform_points,40,consecutive_neighbour,linear_temperature,10,0.99,1526.137986882985,277
uniform_points,40,consecutive_neighbour,linear_temperature,10,0.9,1531.8539043575415,244
uniform_points,40,consecutive_neighbour,linear_temperature,10,0.8,1525.975274322908,251
uniform_points,40,consecutive_neighbour,linear_temperature,10,0.5,1538.691503302845,233
uniform_points,40,consecutive_neighbour,linear_temperature,10,0.3,1559.4178787129554,347
uniform_points,40,consecutive_neighbour,linear_temperature,100,0.99,1423.9252516409838,302
uniform_points,40,consecutive_neighbour,linear_temperature,100,0.9,1506.0228347744262,374
uniform_points,40,consecutive_neighbour,linear_temperature,100,0.8,1517.9278872089933,450
uniform_points,40,consecutive_neighbour,linear_temperature,100,0.5,1544.342309739176,480
uniform_points,40,consecutive_neighbour,linear_temperature,100,0.3,1363.8384392288417,518
uniform_points,40,consecutive_neighbour,linear_temperature,1000,0.99,1563.797743565334,1000
uniform_points,40,consecutive_neighbour,linear_temperature,1000,0.9,1554.0777459860042,1000
uniform_points,40,consecutive_neighbour,linear_temperature,1000,0.8,1602.4128531123745,1000
uniform_points,40,consecutive_neighbour,linear_temperature,1000,0.5,1677.5379229400096,1000
uniform_points,40,consecutive_neighbour,linear_temperature,1000,0.3,1654.3354006056925,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,10,0.99,1532.0649321019796,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,10,0.9,1573.5293602348236,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,10,0.8,1517.4128679346222,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,10,0.5,1586.0257231316828,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,10,0.3,1590.9657126567995,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,100,0.99,1390.4581431169067,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,100,0.9,1343.7783846370298,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,100,0.8,1164.9080011954297,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,100,0.5,1365.338016673337,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,100,0.3,1222.9917809323188,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,1000,0.99,1616.7548837217264,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,1000,0.9,1611.7382863248508,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,1000,0.8,1547.5983428427542,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,1000,0.5,1628.2653735749063,1000
uniform_points,40,consecutive_neighbour,logarytmic_temperature,1000,0.3,1557.629373073332,1000
uniform_points,40,consecutive_neighbour,exponentional_temperature,10,0.99,1524.0095558062428,539
uniform_points,40,consecutive_neighbour,exponentional_temperature,10,0.9,1523.640599977408,269
uniform_points,40,consecutive_neighbour,exponentional_temperature,10,0.8,1514.1119395975136,272
uniform_points,40,consecutive_neighbour,exponentional_temperature,10,0.5,1513.7918020735792,273
uniform_points,40,consecutive_neighbour,exponentional_temperature,10,0.3,1550.0600955430525,249
uniform_points,40,consecutive_neighbour,exponentional_temperature,100,0.99,1339.9838664636284,629
uniform_points,40,consecutive_neighbour,exponentional_temperature,100,0.9,1573.7638476338057,322
uniform_points,40,consecutive_neighbour,exponentional_temperature,100,0.8,1509.3511953009358,271
uniform_points,40,consecutive_neighbour,exponentional_temperature,100,0.5,1541.9148556528899,372
uniform_points,40,consecutive_neighbour,exponentional_temperature,100,0.3,1484.9502064142187,303
uniform_points,40,consecutive_neighbour,exponentional_temperature,1000,0.99,1311.463575692885,817
uniform_points,40,consecutive_neighbour,exponentional_temperature,1000,0.9,1525.7866060386832,338
uniform_points,40,consecutive_neighbour,exponentional_temperature,1000,0.8,1526.5530418605247,366
uniform_points,40,consecutive_neighbour,exponentional_temperature,1000,0.5,1576.770497261005,235
uniform_points,40,consecutive_neighbour,exponentional_temperature,1000,0.3,1589.9751148321643,288
uniform_points,40,arbitrary_neighbour,linear_temperature,10,0.99,924.0158372499739,910
uniform_points,40,arbitrary_neighbour,linear_temperature,10,0.9,843.9053179973394,839
uniform_points,40,arbitrary_neighbour,linear_temperature,10,0.8,785.6327554416347,667
uniform_points,40,arbitrary_neighbour,linear_temperature,10,0.5,787.8541407934845,876
uniform_points,40,arbitrary_neighbour,linear_temperature,10,0.3,793.4413052303231,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,100,0.99,869.2251119369763,752
uniform_points,40,arbitrary_neighbour,linear_temperature,100,0.9,840.8979067776021,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,100,0.8,768.2560184102596,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,100,0.5,813.4947250726372,968
uniform_points,40,arbitrary_neighbour,linear_temperature,100,0.3,866.9910100277805,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,1000,0.99,1468.133349937355,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,1000,0.9,1568.3629892330252,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,1000,0.8,1593.4035440133587,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,1000,0.5,1613.5940635214217,1000
uniform_points,40,arbitrary_neighbour,linear_temperature,1000,0.3,1603.175884324414,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,10,0.99,826.6206559699016,933
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,10,0.9,863.7767963834903,932
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,10,0.8,860.4425903181362,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,10,0.5,780.9461222473739,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,10,0.3,854.6444189949166,823
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,100,0.99,921.9041639966226,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,100,0.9,988.5433340277981,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,100,0.8,947.2686743578167,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,100,0.5,1023.6564788739912,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,100,0.3,1037.6003219729082,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,1000,0.99,1523.3819923919416,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,1000,0.9,1502.4579685240544,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,1000,0.8,1462.4189411105378,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,1000,0.5,1479.0210022323988,1000
uniform_points,40,arbitrary_neighbour,logarytmic_temperature,1000,0.3,1476.7312617356683,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,10,0.99,896.1078229988265,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,10,0.9,818.2064205915423,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,10,0.8,863.6198368368621,785
uniform_points,40,arbitrary_neighbour,exponentional_temperature,10,0.5,818.1429481613478,836
uniform_points,40,arbitrary_neighbour,exponentional_temperature,10,0.3,906.3117854208298,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,100,0.99,813.1936180368838,881
uniform_points,40,arbitrary_neighbour,exponentional_temperature,100,0.9,786.674756941023,714
uniform_points,40,arbitrary_neighbour,exponentional_temperature,100,0.8,929.202585769194,643
uniform_points,40,arbitrary_neighbour,exponentional_temperature,100,0.5,816.1225918146012,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,100,0.3,889.3116522944927,803
uniform_points,40,arbitrary_neighbour,exponentional_temperature,1000,0.99,829.9631169288366,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,1000,0.9,790.2146436674225,1000
uniform_points,40,arbitrary_neighbour,exponentional_temperature,1000,0.8,784.7443625687811,791
uniform_points,40,arbitrary_neighbour,exponentional_temperature,1000,0.5,889.3483077494025,584
uniform_points,40,arbitrary_neighbour,exponentional_temperature,1000,0.3,866.5687882771159,456
four_normal_groups,8,consecutive_neighbour,linear_temperature,10,0.99,553.8170720388482,118
four_normal_groups,8,consecutive_neighbour,linear_temperature,10,0.9,552.3802170781548,129
four_normal_groups,8,consecutive_neighbour,linear_temperature,10,0.8,552.3802170781547,140
four_normal_groups,8,consecutive_neighbour,linear_temperature,10,0.5,550.716206769552,130
four_normal_groups,8,consecutive_neighbour,linear_temperature,10,0.3,409.4879041937454,141
four_normal_groups,8,consecutive_neighbour,linear_temperature,100,0.99,409.4879041937454,202
four_normal_groups,8,consecutive_neighbour,linear_temperature,100,0.9,409.4879041937456,216
four_normal_groups,8,consecutive_neighbour,linear_temperature,100,0.8,489.85095417902517,231
four_normal_groups,8,consecutive_neighbour,linear_temperature,100,0.5,409.48790419374546,312
four_normal_groups,8,consecutive_neighbour,linear_temperature,100,0.3,409.4879041937455,441
four_normal_groups,8,consecutive_neighbour,linear_temperature,1000,0.99,409.4879041937432,1000
four_normal_groups,8,consecutive_neighbour,linear_temperature,1000,0.9,409.4879041937455,1000
four_normal_groups,8,consecutive_neighbour,linear_temperature,1000,0.8,409.4879041937461,1000
four_normal_groups,8,consecutive_neighbour,linear_temperature,1000,0.5,409.4879041937445,1000
four_normal_groups,8,consecutive_neighbour,linear_temperature,1000,0.3,409.6625105479578,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,10,0.99,547.4392345705452,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,10,0.9,550.4546367053716,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,10,0.8,635.1586418487688,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,10,0.5,550.7162067695516,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,10,0.3,409.48790419374325,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,100,0.99,409.48790419374393,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,100,0.9,409.4879041937422,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,100,0.8,409.48790419374416,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,100,0.5,409.48790419374325,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,100,0.3,409.4879041937452,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,1000,0.99,409.4879041937448,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,1000,0.9,409.4879041937435,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,1000,0.8,409.48790419374495,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,1000,0.5,409.4879041937449,1000
four_normal_groups,8,consecutive_neighbour,logarytmic_temperature,1000,0.3,409.48790419374336,1000
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,10,0.99,679.4651421658846,939
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,10,0.9,541.1373596250845,149
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,10,0.8,489.8509541790255,136
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,10,0.5,547.8579918088187,114
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,10,0.3,679.4641307526842,139
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,100,0.99,409.4879041937442,816
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,100,0.9,552.3802170781547,224
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,100,0.8,612.2454436341546,186
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,100,0.5,547.4392345705496,128
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,100,0.3,628.2131654589957,121
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,1000,0.99,409.4879041937437,1000
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,1000,0.9,547.1834099115997,194
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,1000,0.8,554.9347631051847,201
four_normal_groups,8,consecutive_neighbour,exponentional_temperature,1000,0.5,547.4392345705495,137
